book_id,chap_id,term_str,n,tfidf_x,max_pos,dfidf,tfidf_y,syu_sentiment,origin,weighted_sentiment
84,29,accomplish,1,0.06555697645938449,VB,13.176952268336283,0.0012585832740638527,0.75,British,0.04916773234453837
84,56,accomplish,1,0.011379060680773993,VB,13.176952268336283,0.0012585832740638527,0.75,British,0.008534295510580495
18247,1,accomplish,6,0.002354709125864239,VB,13.176952268336283,0.0012585832740638527,0.75,British,0.0017660318443981794
84,29,acquitted,1,0.07428776005223756,VBD,9.954559846999834,0.001562687509189463,-0.25,British,-0.01857194001305939
84,39,acquitted,1,0.02416155302669862,VBD,9.954559846999834,0.001562687509189463,-0.25,British,-0.006040388256674655
84,29,admiration,1,0.035706230190727765,NN,28.707809073345125,0.0038465626648693536,0.75,British,0.026779672643045822
84,32,admiration,1,0.018123616839233032,NN,28.707809073345125,0.0038465626648693536,0.75,British,0.013592712629424774
84,33,admiration,1,0.03189756563705014,NN,28.707809073345125,0.0038465626648693536,0.75,British,0.023923174227787603
84,34,admiration,1,0.017210916710638565,NN,28.707809073345125,0.0038465626648693536,0.75,British,0.012908187532978923
84,36,admiration,1,0.01759056928513794,NN,28.707809073345125,0.0038465626648693536,0.75,British,0.013192926963853456
84,40,admiration,1,0.0161643069106673,NN,28.707809073345125,0.0038465626648693536,0.75,British,0.012123230183000475
84,43,admiration,1,0.01092382384830484,NN,28.707809073345125,0.0038465626648693536,0.75,British,0.00819286788622863
84,47,admiration,1,0.015237690590947518,NN,28.707809073345125,0.0038465626648693536,0.75,British,0.011428267943210639
84,50,admiration,2,0.03147786082603632,NN,28.707809073345125,0.0038465626648693536,0.75,British,0.02360839561952724
84,51,admiration,2,0.030475381181895037,NN,28.707809073345125,0.0038465626648693536,0.75,British,0.022856535886421277
84,56,admiration,2,0.012395427061029847,NN,28.707809073345125,0.0038465626648693536,0.75,British,0.009296570295772385
18247,1,admiration,24,0.005130058805100987,NN,28.707809073345125,0.0038465626648693536,0.75,British,0.00384754410382574
84,29,advantage,1,0.03238694032003451,NN,30.37895002019237,0.004385731879848623,0.75,British,0.024290205240025883
84,35,advantage,1,0.013821178353135746,NN,30.37895002019237,0.004385731879848623,0.75,British,0.01036588376485181
84,48,advantage,1,0.010959217179001578,NN,30.37895002019237,0.004385731879848623,0.75,British,0.008219412884251183
84,52,advantage,1,0.009601438059479257,NN,30.37895002019237,0.004385731879848623,0.75,British,0.007201078544609442
201,2,advantage,3,0.005137943965530337,NN,30.37895002019237,0.004385731879848623,0.75,British,0.0038534579741477527
