,title,origin,weighted_sentiment
0,Flatland: A Romance of Many Dimensions,British,0.000978465997509789
1,Frankenstein,British,0.0002476611339048442
2,The Invisible Man,British,-0.003967946343684326
3,The Last Man,British,-7.46083788692541e-05
