term_str,n,max_pos
adrian,285,NNP
adrians,32,NNP
adriatic,2,NNP
adrift,2,RP
adult,2,NN
adults,1,NN
advance,20,NN
advanced,46,VBD
advancedit,1,VBP
advancement,4,NN
advances,7,NNS
advancing,11,VBG
advantage,26,NN
advantageous,1,JJ
advantages,15,NNS
advent,2,NN
adventure,3,NN
adventurer,2,NN
adventures,4,NN
adventurous,4,JJ
adversaries,3,NN
adversary,12,NN
adversarys,2,NN
adverse,5,JJ
adversity,8,NN
adverted,2,VBD
adverting,1,VBG
advertisement,1,NN
advice,9,NN
advisability,1,NN
advise,2,VB
adviseable,1,JJ
advised,3,VBD
advocate,2,NN
advocates,1,NNS
advocating,1,VBG
adye,51,NNP
adyes,4,NNP
adyewas,1,NNP
aegean,1,NNP
aegis,1,NN
aera,3,NN
aerial,6,JJ
aesthetic,2,JJ
aesthetically,1,RB
afar,3,VBP
affability,2,NN
affable,2,NN
affair,7,NN
affairand,1,NN
affairs,9,NNS
affect,2,VB
affectation,1,NN
affected,9,VBN
affecting,4,VBG
affection,104,NN
affectionate,24,JJ
affectionately,1,NN
affectionatelythank,1,NN
affections,28,NNS
affectionsif,1,NN
affinitiesthe,1,NN
affinity,3,NN
affirm,1,VBP
affirmative,2,NN
affirming,1,JJ
affixed,1,NN
affixing,1,VBG
afflicted,5,VBD
afflictedlondon,1,RB
afflicting,1,VBG
affliction,2,RB
afflictions,1,NN
affluence,1,NN
afford,26,VB
afforded,27,VBD
affording,7,VBG
affords,3,VBZ
affright,9,NN
affrighted,1,JJ
afield,1,VBP
afire,2,IN
afloat,1,NN
afraid,20,JJ
africa,3,NNP
african,1,NNP
aft,3,NN
after,338,IN
afterand,1,VBP
afternoon,21,NN
afterward,1,RB
afterwards,33,NNS
again,432,RB
againi,1,VB
against,134,IN
agatha,22,NNP
age,57,NN
aged,20,VBN
agency,3,NN
agents,4,NNS
ages,15,NNS
agethere,1,RB
aggrandisement,2,NN
aggrandizement,2,NN
aggravated,3,VBN
aggravation,2,NN
aggressive,2,JJ
aggressively,1,RB
aghast,12,NN
agile,1,JJ
agility,3,NN
agitated,21,VBN
agitates,2,VBZ
agitation,36,NN
aglare,1,NN
ago,37,RB
agonies,6,NNS
agonised,1,VBN
agonising,2,VBG
agonized,2,JJ
agonizing,18,VBG
agony,50,NN
agonyfor,1,NN
agree,4,VBP
agreeable,6,JJ
agreeably,1,RB
agreed,22,VBD
agreeing,1,VBZ
agreement,2,NN
agricultural,2,JJ
agriculture,1,NN
agriculturist,1,NN
agrimony,1,NN
agrippa,8,NNP
ah,26,NN
ahead,2,RB
ahmed,1,NNP
aid,28,NN
aided,5,VBD
aides,2,NNS
aids,1,NNS
aiguilles,1,NN
aim,18,NN
aimed,5,VBD
aiming,1,VBG
aimless,2,NN
aimthe,1,NN
aint,18,NN
air,184,NN
airi,1,NN
airno,1,NN
airs,12,NN
airso,1,RB
airthe,2,NN
airthere,1,RB
airto,1,VBD
airwe,1,NN
airy,5,JJ
aisle,4,NN
aisles,1,NN
ajar,5,JJ
akimbo,3,VBP
akin,16,JJ
alacrity,4,NN
alarm,14,NN
alarmed,17,VBN
alarmednay,1,RB
alarming,4,VBG
alas,55,NN
albania,1,NNP
albans,1,NNP
albany,1,NNP
albatross,1,NN
albeit,1,IN
albertus,3,NNP
albinismand,1,NN
albino,2,NN
albion,1,NNP
alchemists,2,NN
alchemy,1,VBP
alcove,4,NN
ale,1,NN
alert,2,VBP
alertly,1,NN
alertness,1,NN
alexander,2,NNP
alfred,13,NNP
alfreds,5,NNP
algal,1,JJ
algiers,1,VB
ali,1,NNP
alien,6,JJ
alienated,1,JJ
alienation,2,NN
alight,1,JJ
alighted,5,VBD
alighting,1,NN
alike,19,RB
alit,1,NN
alive,37,JJ
alivelove,1,JJ
all,1152,DT
all11,1,NN
allah,1,NNP
allall,1,RP
allay,4,VB
allayed,2,VBD
allaying,1,VBG
allbut,1,IN
alledging,1,VBG
allege,1,VBP
alleged,1,VBN
allegiance,1,NN
alleging,2,NN
alleviate,2,VB
alleviated,1,VBN
alleviation,4,NN
alleviations,1,NNS
alley,2,NN
alliance,3,NN
alliances,1,NN
allied,5,VBN
alljust,1,VBZ
allo,1,RB
allotted,4,VBN
allow,20,VB
allowed,37,VBN
allowing,3,VBG
alloy,1,NN
allthis,1,JJ
allto,1,NNS
allude,5,VB
alluded,3,VBD
alluding,1,VBG
allure,2,VB
allured,3,VBN
allurement,1,NN
allurements,1,NNS
allures,1,VBZ
alluring,2,NN
allusion,2,NN
allwhy,1,NN
ally,2,RB
almaviva,1,NNP
almighty,3,RB
almost,122,RB
alms,1,JJ
aloft,1,VBZ
alone,170,RB
alonealonesole,1,JJ
aloneand,1,IN
alonei,1,RB
aloneit,1,NNP
alonewe,1,VBP
along,71,IN
alongside,1,RB
alongtell,1,RB
aloud,21,NN
aloudonce,1,NN
alp,2,NNP
alpha,1,NNP
alphabet,4,NNP
alphonse,1,NN
alpine,4,NNP
alps,14,NNP
already,130,RB
also,166,RB
alsothat,1,RB
altar,4,NN
altars,2,NN
alter,13,VB
alteration,12,NN
alterations,3,NNS
altercation,1,NN
altered,24,JJ
altering,2,VBG
alternate,4,JJ
alternately,2,RB
alternative,1,JJ
alternatives,1,NNS
although,94,IN
altitude,1,NN
altivo,1,IN
altogether,26,RB
always,77,RB
am,352,VBP
ama,1,VBP
amalgamation,1,NN
amalthea,1,NNP
amaltheas,1,NNP
amassed,1,VBN
amateur,1,JJ
amaze,1,NN
amazed,8,VB
amazement,7,NN
amazing,3,JJ
amazingly,2,RB
amb,1,NN
ambassador,5,NN
ambassadors,1,RB
ambiguous,1,NN
ambition,54,NN
ambitions,1,JJ
ambitionwhat,1,DT
ambitious,11,JJ
ambrosial,3,JJ
ambush,4,NN
amdead,1,VBP
ameliorate,1,VB
amelioration,1,NN
amenable,1,JJ
amend,1,VB
amendment,2,NN
amenity,1,NN
america,15,NNP
american,6,JJ
americans,3,NNPS
amiability,1,NN
amiable,23,JJ
amid,5,IN
amidst,26,NN
amity,2,NN
ammonite,1,NN
among,253,IN
amongst,3,IN
amor,1,VBZ
amount,2,VB
amounted,6,VBD
amounting,1,VBG
amphitheatre,1,NN
ample,12,JJ
amplifying,1,VB
amply,1,JJ
amthin,1,VBP
amuse,4,VB
amused,5,VBD
amusement,14,NN
amusements,6,NNS
amusementthe,1,JJ
amusing,3,VBG
an,960,DT
anadem,1,NN
anaemic,3,JJ
analogy,14,NNP
analysing,1,VBG
analysis,1,NN
analyze,1,VB
anarchical,1,JJ
anarchist,1,NN
anarchy,3,NN
anatomise,1,NN
anatomized,1,JJ
anatomy,2,NN
ancestor,1,NNP
ancestors,11,NNS
ancestry,3,NN
anchor,5,NN
anchorage,1,NN
anchored,1,VBD
anchoring,1,VBG
ancient,45,JJ
ancients,2,NN
ancona,1,NNP
and,12152,CC
andes,1,NNP
andrew,1,NNP
andrews,1,NNP
andwell,1,NN
anear,2,IN
anecdotes,1,NN
anew,6,NN
angel,16,NN
angelic,6,JJ
angelicashe,1,NNP
angels,10,NN
anger,29,NN
angered,1,VBN
angeri,1,JJ
angle,26,NN
angled,2,VBD
angles,30,NNS
anglo,1,NNP
angrily,6,RB
angry,41,JJ
anguish,47,NN
angularity,7,NN
animal,28,NN
animala,1,NN
animals,19,NNS
animate,6,VB
animated,26,VBD
animating,2,JJ
animation,14,NN
animosity,3,NN
ankle,3,NN
ankles,2,NN
annals,4,NN
annexed,1,JJ
annihilate,2,VB
annihilated,8,VBN
annihilating,1,NN
annihilation,10,NN
anniversaries,1,NNS
anniversary,3,NN
announce,6,VB
announced,7,VBN
announcers,1,NNS
announces,1,VBZ
announcing,2,VBG
annoy,3,VB
annoyance,2,NN
annoyed,2,VBD
annoying,1,VBG
annual,1,JJ
annually,1,RB
anon,5,VB
anonymous,1,JJ
another,200,DT
anothers,5,NN
answer,61,NN
answered,35,VBD
answeredyou,1,VBZ
answering,1,VBG
answers,7,NNS
ant,1,JJ
antagonism,1,VB
antagonist,6,NN
antagonistic,1,JJ
antagonists,1,NNS
ante,2,JJ
antecedents,1,NN
antelope,1,NN
anthill,1,NN
anti,1,JJ
antic,1,JJ
anticipate,2,VB
anticipated,5,VBD
anticipation,6,NN
anticipations,5,NNS
antics,2,NN
antient,1,NN
antigone,1,NNP
antipathy,2,RB
antipodean,1,NNP
antipodes,5,NNS
antiquarian,1,NN
antique,8,NN
antiquities,1,NN
antiquity,2,NN
antlered,1,JJ
antony,1,NNP
ants,1,NNS
anvert,1,NNP
anxieties,1,NN
anxiety,38,NN
anxious,28,JJ
anxiously,12,RB
any,372,DT
anyhow,3,NN
anyone,8,NN
anything,32,NN
anywhere,2,RB
apace,2,NN
apart,12,RB
apartment,20,NN
apartments,14,NNS
apathetic,1,JJ
apathy,1,PDT
ape,1,VB
apennines,2,NNP
aperture,2,NN
apex,2,NN
apollo,1,NNP
apologies,2,NNS
apologise,1,VB
apologised,1,VBP
apologize,2,VB
apologized,2,VBN
apostacy,1,NN
apostle,2,NN
apothecary,1,NN
appalled,1,JJ
appalling,17,VBG
apparatus,12,NN
apparel,3,NN
apparent,27,JJ
apparently,35,RB
apparition,8,NN
appeal,15,NN
appealed,3,VBD
appeals,1,NNS
appear,62,VB
appearance,100,NN
appearancenow,1,NN
appearances,7,NNS
appeared,173,VBD
appearing,3,VBG
appears,17,VBZ
appeased,1,JJ
appeasing,1,NN
appellation,1,NN
appendages,2,NN
appennines,1,NNP
appenninesthrough,1,NNP
appertain,2,VB
appertaining,2,VBG
appertains,1,VBZ
appetite,16,NN
appetites,2,NN
applauded,1,JJ
applaudingly,1,NN
applause,6,NN
applausei,1,NN
apple,1,NN
apples,1,NNS
appliances,4,NNS
application,13,NN
applied,13,VBD
applies,1,VBZ
apply,10,VB
applying,2,VBG
appoint,1,VB
appointed,6,VBN
appointment,1,NN
appreciably,1,RB
appreciate,6,VB
appreciated,3,NN
appreciation,1,NN
apprehend,1,VB
apprehended,3,VBN
apprehending,1,VBG
apprehension,13,NN
apprehensions,3,NNS
apprehensive,2,RB
apprentice,1,NN
apprenticeship,1,NN
apprising,1,VBG
approach,40,NN
approached,40,VBD
approaches,2,NNS
approaching,26,VBG
approbation,6,NN
appropriate,1,VB
appropriated,2,VBN
approval,3,NN
approve,2,VB
approved,3,VBN
approving,1,VBG
approximate,3,VB
approximated,2,VBN
approximately,1,RB
approximates,1,VBZ
approximating,1,VBG
approximation,12,NN
approximations,1,VBP
approximator,1,NN
appurtenances,1,NNS
april,4,NNP
aproned,1,VBD
aprons,1,NNS
apt,4,JJ
aqueduct,1,NN
aqueducts,1,NN
arab,2,NNP
arabian,14,NNP
arabic,2,NNP
arabs,1,NNPS
ararat,1,NNP
arbiter,1,NN
arbiters,1,NNS
arbitrary,1,JJ
arbitration,1,NN
arbutus,1,NN
arcade,2,NN
arcadian,2,JJ
arcana,1,NN
arch,7,NN
archangel,4,NNP
arched,1,VBD
arches,3,NNS
archie,1,NNP
architect,3,NN
architecture,2,NN
archives,1,NN
archon,1,NN
arctic,1,JJ
ardent,27,JJ
ardently,12,RB
ardour,21,NN
ardours,1,NN
arduous,2,JJ
are,682,VBP
area,3,NN
arecharity,1,NN
arent,1,RB
arf,1,VBP
argue,6,VB
argued,2,VBD
argument,13,NN
argumentative,2,VB
arguments,18,NNS
argyropylo,3,NNP
ariadne,1,NNP
aright,1,NN
ariosto,1,NNP
arise,17,VB
arisen,3,VBN
arises,1,VBZ
arising,8,VBG
aristides,1,NNP
aristocracy,8,NN
aristocratic,5,JJ
aristocratical,1,JJ
aristocrats,4,NNS
arithmetic,6,NNP
arithmetical,2,JJ
arm,49,NN
armada,1,NNP
armchair,4,NN
armed,11,VBN
armenian,1,NNP
armies,5,NNS
armour,1,NN
arms,78,NNS
armtake,1,NN
army,29,NN
arno,1,NNP
aromatic,1,JJ
arose,39,VBD
around,95,IN
aroundcontracted,1,VBD
arouse,2,VB
aroused,7,VBD
arrange,8,VB
arranged,20,VBD
arrangement,6,NN
arrangements,9,NNS
arranging,10,VBG
array,6,NN
arrayed,2,VBD
arraying,2,VBG
arrest,6,VB
arrested,11,VBN
arrests,2,VBZ
arrival,46,NN
arrive,19,VB
arrived,89,VBD
arrives,3,VBZ
arriving,5,VBG
arrogance,2,NN
arrogant,2,JJ
arrogate,1,VB
arrogated,1,VBD
arrow,5,NN
arrows,6,NNS
arrowy,1,NN
art,48,NN
arteries,6,NNS
artery,2,NN
artful,3,JJ
arthur,2,NNP
arthurs,1,NNP
article,3,NN
articles,6,NNS
articulate,6,NN
articulation,3,NN
articulations,2,NNS
artifice,5,NN
artifices,3,NNS
artificial,4,JJ
artillery,3,NN
artillerymen,1,NNS
artisan,3,NNP
artisans,3,NNP
artisks,1,NNS
artist,7,NN
artistic,2,JJ
artistically,1,VB
artists,3,NN
artistss,1,NN
artless,1,NN
arts,12,NNS
artsto,1,NN
arve,5,NNP
arveiron,3,NNP
as,2190,IN
ascend,10,VB
ascendancy,1,NN
ascended,18,VBD
ascending,6,VBG
ascent,11,NN
ascertain,8,VB
ascertained,7,VBN
ascertaining,4,VBG
ascii,10,JJ
ascribed,2,VBD
ash,1,NN
ashamed,6,JJ
ashes,9,NNS
ashy,3,JJ
asi,1,NN
asia,12,NNP
asiatic,4,NNP
asiatics,1,NNP
asiaticthe,1,NNP
aside,48,RB
ask,44,VB
asked,102,VBD
askew,2,VBZ
askhow,1,VBP
asking,7,VBG
askn,1,VB
asks,1,VBZ
asleep,11,RB
asparagus,2,NN
aspect,22,NN
asperities,1,NNS
asperity,1,NN
asperitydo,1,NN
aspetto,1,NN
aspic,1,JJ
aspics,1,NN
aspirant,3,NN
aspirants,1,NN
aspiration,1,NN
aspirationfarewell,1,NN
aspirations,10,NNS
aspire,6,VB
aspired,3,VBD
aspires,1,VBZ
aspiring,4,VBG
ass,4,NN
assailant,2,NN
assailants,1,NN
assailed,3,VBD
assassin,2,NN
assassinated,1,JJ
assassination,2,NN
assassins,1,VBZ
assault,1,NN
assaulted,3,VBD
assaults,1,NNS
assemblage,7,NN
assemblages,1,NNS
assemblance,1,NN
assemble,3,VB
assembled,30,VBD
assemblies,1,NNS
assembly,17,NN
assent,5,NN
assert,10,VB
asserted,11,VBD
asserting,2,VBG
assertion,8,NN
assertions,5,NN
asserts,2,VBD
asses,3,NN
asseverations,3,NN
asshoaxing,1,VBG
assiduity,2,NN
assiduous,1,JJ
assign,1,VB
assigned,6,VBN
assigning,2,VBG
assimilated,3,RB
assist,23,VB
assistance,14,NN
assistant,3,NN
assistants,5,NNS
assisted,9,VBD
assisting,3,VBG
assizes,1,NNS
associate,5,VB
associated,7,VBN
associates,1,NNS
associating,1,VBG
association,8,NN
associations,5,NNS
assuage,2,VB
assuaged,1,JJ
assume,7,VB
assumed,37,VBD
assumei,1,VB
assumes,1,VBZ
assuming,5,VBG
assumption,4,NN
assurance,6,NN
assurances,3,NN
assure,14,VB
assured,52,VBD
assuredly,10,RB
assures,2,VBZ
assuring,2,VBG
astir,1,VBN
astonished,13,VBN
astonishing,12,JJ
astonishment,17,NN
astounded,1,VBN
astounding,1,VBG
astray,1,VBP
astronomer,4,NN
astronomical,2,JJ
astronomy,1,NNP
asunder,2,VB
asylum,10,NN
asylums,1,NNS
at,1643,IN
ate,12,VB
athenians,7,NNP
athens,22,NNP
athletic,1,JJ
athol,1,NNP
athols,1,NNP
athos,2,NNP
athwart,2,RB
atlantic,4,NNP
atlantis,1,NNP
atlean,1,NNP
atmosphere,28,NN
atmosphereso,1,NN
atmospheric,1,JJ
atone,1,VB
atrocious,1,JJ
attach,2,VB
attached,19,VBN
attaching,1,VBG
attachment,15,NN
attachments,1,NNS
attack,11,NN
attacked,11,VBN
attacks,4,NN
attain,11,VB
attainable,1,JJ
attained,10,VBN
attaining,1,VBG
attainment,2,NN
attains,1,VBZ
attempt,31,NN
attempted,21,VBD
attempting,2,VBG
attempts,8,NNS
attend,19,VB
attendance,8,NN
attendant,18,NN
attendants,10,NNS
attended,33,VBD
attending,9,VBG
attends,3,VBZ
attention,57,NN
attentionand,1,NN
attentions,13,NNS
attentive,4,JJ
attentively,5,RB
attenuated,3,VBD
attest,2,VB
attested,4,VBD
attica,1,VB
attics,1,NNS
attire,3,NN
attitude,11,NN
attract,5,VB
attracted,16,VBD
attraction,5,NN
attractions,3,NNS
attractionsbut,1,NN
attractive,6,JJ
attracts,1,VBZ
attribute,8,NN
attributed,10,VBD
attributes,5,NNS
attributesand,2,NN
attributeslifelifethe,1,JJ
attuned,4,VBN
auburn,2,NN
audacious,2,NN
audacity,1,NN
audible,9,JJ
audibly,6,NN
audience,9,NN
audition,2,NN
auditor,1,NN
auditors,5,NN
aught,7,NN
augment,1,VB
augmented,8,VBN
augmenting,1,VBG
auguries,3,NN
augury,5,NN
august,14,NNP
aunt,10,NN
auspices,2,NN
austere,2,JJ
austria,5,NNP
austrian,2,JJ
austrians,1,NNP
authentic,1,JJ
author,15,NN
authoritative,1,JJ
authorities,3,NNS
authority,9,NN
authors,6,NNS
authorship,1,NN
automatically,1,NN
automaton,1,NN
autumn,13,NN
autumnal,6,JJ
auxerre,6,NNP
auxiliaries,1,NNS
auxiliary,1,JJ
avail,10,NN
available,2,JJ
availablehe,1,VBN
availed,1,VBD
availing,1,VBG
avalanche,8,NN
avarice,2,NN
avaunt,1,NN
avenge,1,VB
avenger,1,NN
avengers,1,NN
avent,1,NNP
avenue,2,NN
avenues,1,NNS
aver,2,RB
average,3,NN
averred,5,VBD
averse,8,JJ
aversion,6,NN
avert,7,VB
averted,1,VBD
avidity,4,NN
avocations,3,NN
avoid,23,VB
avoidance,1,NN
avoided,14,VBD
avoiding,4,VBG
avouch,1,VBP
avow,1,VB
avowal,2,NN
avowed,2,VBN
avows,1,VBZ
await,9,VB
awaited,6,VBD
awaiting,6,VBG
awaits,3,NNS
awake,21,JJ
awaked,3,VBN
awaken,15,VB
awakened,21,VBD
awakeners,1,NNS
awakening,9,VBG
awakens,1,NNS
awakes,1,NNS
awaking,1,VBG
award,1,NN
aware,36,JJ
away,204,RB
awayhe,1,RB
awayi,1,VBP
awaymade,1,VB
awaywhy,1,RP
awe,14,NN
awed,3,VBN
awestruck,1,NNP
awful,15,JJ
awhile,14,NN
awhilehave,1,VBP
awkwardly,2,NN
awkwardness,2,VB
awoke,54,VBD
axe,14,NN
axiom,2,NN
axis,1,NNP
axle,2,NN
ay,4,IN
aye,2,NN
ayer,1,NN
ayfield,1,NNP
aziolo,2,JJ
azure,8,NN
b,5,NNP
babe,6,NN
babel,2,NNP
babes,7,NN
babeswe,1,NN
babies,1,NNS
baby,2,NN
babyish,1,JJ
bachelor,4,NN
bachelors,1,NNPS
back,213,RB
backed,1,VBD
background,1,NN
backs,3,NNS
backward,9,RB
backwards,6,NN
bacon,4,NN
bad,12,JJ
bade,17,VBD
badges,1,NNS
badly,5,VB
baffle,1,VB
baffled,2,VBN
baffling,1,NN
bag,3,NN
baggage,2,NN
baghe,1,NN
bait,1,NN
bakers,1,NN
balance,7,NN
balanced,4,VBN
balancing,1,NN
bald,1,NN
baleful,1,JJ
bales,1,NNS
balked,1,VBN
ball,5,NN
ballad,1,NN
balloon,5,NN
ballots,1,NNS
balls,1,NNS
balm,8,NN
balminess,1,NN
balmme,1,NN
balmy,11,NN
balustrade,1,NN
banana,1,NN
banas,1,NN
band,10,NN
bandage,8,NN
bandaged,12,VBN
bandages,10,NNS
bandaging,1,NN
bandied,1,VBN
bands,10,NNS
bandy,1,NN
bandying,2,VBG
bane,1,NN
banish,5,VB
banished,10,VBD
banishment,1,NN
bank,4,NN
bankand,1,NN
banker,1,NN
bankers,1,NNP
banking,1,NNP
bankrupt,5,JJ
banks,24,NNS
banner,4,NN
banners,9,NNS
bannersthough,1,IN
banquet,1,NN
banqueting,1,VBG
bar,32,NN
barbara,1,NN
barbarian,2,JJ
barbarism,5,NN
barbarity,3,NN
barbarous,5,JJ
barbarously,2,RB
barbed,1,NN
barca,3,NNP
bare,33,NN
bared,7,VBN
barefaced,1,VBN
barefoot,2,NN
barely,1,RB
barethe,1,JJ
bargain,1,NN
bark,18,NN
barked,1,VBD
barking,1,VBG
barks,2,NNS
barley,1,NN
barman,13,NN
barmans,1,NN
barn,2,NN
barns,1,NN
